2004eo 0.0157 308.225792 9.928528
filter B
53289.57	15.745	0.01
53290.57	15.82	0.009
53291.55	15.898	0.009
53292.55	15.978	0.01
53294.5	16.141	0.01
53295.5	16.199	0.011
53298.53	16.408	0.012
53300.51	16.547	0.013
53301.51	16.606	0.014
53302.51	16.684	0.013
53303.51	16.732	0.014
53304.52	16.802	0.089
53305.51	16.895	0.017
53307.55	16.994	0.024
53308.52	17.122	0.01
53309.51	17.186	0.011
53310.52	17.261	0.011
53311.52	17.3	0.011
53329.53	17.907	0.015
53341.54	18.15	0.029
filter Ydw
53269.6	16.133	0.017
53270.57	16.009	0.007
53270.57	15.993	0.007
53271.52	15.867	0.006
53271.54	15.856	0.006
53272.51	15.747	0.006
53272.52	15.759	0.006
53277.53	15.752	0.006
53277.54	15.766	0.007
53281.52	16.085	0.008
53281.53	16.081	0.007
53301.52	15.64	0.007
53301.53	15.634	0.006
53306.55	15.512	0.007
53306.56	15.503	0.006
filter g
53266.52	17.412	0.004
53267.52	16.995	0.004
53268.52	16.636	0.004
53271.55	15.908	0.004
53272.55	15.759	0.004
53273.54	15.639	0.007
53274.51	15.554	0.004
53275.52	15.482	0.007
53280.51	15.385	0.004
53281.51	15.412	0.004
53287.56	15.777	0.004
53288.56	15.864	0.004
53289.57	15.971	0.004
53290.57	16.074	0.004
53291.55	16.187	0.004
53292.55	16.301	0.004
53294.5	16.532	0.005
53295.5	16.644	0.009
53298.53	16.961	0.007
53300.51	17.148	0.009
53301.51	17.242	0.012
53302.51	17.347	0.014
53303.51	17.403	0.01
53304.52	17.483	0.01
53305.51	17.58	0.01
53307.55	17.698	0.012
53308.52	17.78	0.008
53309.51	17.829	0.013
53310.52	17.878	0.009
53311.52	17.921	0.013
53312.51	17.982	0.01
53321.54	18.253	0.008
53329.53	18.356	0.019
53341.54	18.577	0.026
filter i
53266.52	17.379	0.007
53267.52	16.984	0.007
53268.52	16.66	0.006
53271.55	16.023	0.004
53272.55	15.903	0.006
53273.54	15.808	0.006
53274.51	15.76	0.004
53275.52	15.731	0.005
53276.58	15.731	0.004
53277.51	15.764	0.007
53278.51	15.801	0.008
53279.52	15.83	0.008
53280.51	15.849	0.004
53281.51	15.864	0.004
53282.51	15.889	0.008
53287.56	16.134	0.004
53288.56	16.19	0.006
53289.57	16.226	0.005
53290.57	16.252	0.004
53291.55	16.253	0.004
53292.55	16.246	0.005
53294.5	16.213	0.004
53295.5	16.209	0.007
53298.53	16.19	0.008
53300.51	16.206	0.009
53301.51	16.231	0.005
53302.51	16.239	0.004
53303.51	16.254	0.005
53304.52	16.256	0.013
53305.51	16.34	0.007
53307.55	16.458	0.006
53308.52	16.549	0.005
53309.51	16.629	0.007
53310.52	16.712	0.007
53311.52	16.788	0.006
53312.51	16.861	0.007
53321.54	17.314	0.009
53329.53	17.621	0.011
53341.54	18.063	0.026
filter r
53266.52	17.201	0.004
53267.52	16.825	0.005
53268.52	16.52	0.004
53271.55	15.849	0.004
53272.55	15.71	0.004
53273.54	15.597	0.004
53274.51	15.509	0.004
53275.52	15.448	0.008
53276.58	15.395	0.004
53280.51	15.319	0.004
53281.51	15.323	0.004
53287.56	15.557	0.004
53288.56	15.62	0.004
53289.57	15.689	0.004
53290.57	15.742	0.004
53291.55	15.784	0.004
53292.55	15.826	0.004
53294.5	15.894	0.004
53295.5	15.924	0.004
53298.53	16.021	0.005
53300.51	16.098	0.009
53301.51	16.15	0.004
53302.51	16.191	0.004
53303.51	16.258	0.005
53304.52	16.313	0.004
53305.51	16.384	0.006
53307.55	16.536	0.005
53308.52	16.619	0.004
53309.51	16.692	0.006
53310.52	16.763	0.005
53311.52	16.829	0.005
53312.51	16.889	0.005
53321.54	17.281	0.007
53329.53	17.534	0.009
53341.54	17.918	0.013
filter u
53266.52	18.465	0.016
53267.52	17.855	0.016
53268.52	17.352	0.012
53271.55	16.475	0.012
53272.55	16.325	0.012
53273.54	16.174	0.014
53274.51	16.101	0.013
53275.52	16.079	0.017
53276.58	16.03	0.018
53277.51	16.049	0.014
53278.51	16.07	0.012
53279.52	16.092	0.012
53280.51	16.173	0.01
53281.51	16.274	0.011
53282.51	16.38	0.011
53287.56	17.075	0.014
53288.56	17.252	0.011
53289.57	17.407	0.012
53290.57	17.584	0.012
53291.55	17.735	0.012
53292.55	17.91	0.013
53294.5	18.253	0.017
53295.5	18.375	0.017
53298.53	18.732	0.023
53300.51	18.945	0.054
53301.51	19.001	0.04
53302.51	19.065	0.046
53303.51	19.115	0.043
53305.51	19.283	0.047
53307.55	19.394	0.078
53308.52	19.418	0.029
53309.51	19.489	0.028
53310.52	19.555	0.032
53311.52	19.56	0.028
53312.51	19.61	0.028
53321.54	19.995	0.085
