2004ef 0.031 340.54175 19.994556
filter B
53259.63	17.179	0.005
53260.66	17.072	0.005
53261.6	17.006	0.006
53262.57	16.97	0.005
53263.6	16.93	0.006
53264.6	16.923	0.005
53265.65	16.931	0.005
53266.63	16.958	0.005
53267.62	16.998	0.005
53268.64	17.034	0.007
53271.6	17.237	0.005
53272.65	17.328	0.006
53273.69	17.419	0.009
53274.64	17.505	0.01
53275.68	17.639	0.014
53276.65	17.726	0.018
53277.6	17.833	0.016
53278.61	17.956	0.012
53279.62	18.07	0.009
53280.61	18.185	0.008
53281.61	18.306	0.007
53282.58	18.401	0.009
53287.62	18.918	0.01
53289.63	19.116	0.009
53290.61	19.215	0.01
53291.6	19.277	0.011
53292.6	19.334	0.012
53294.61	19.479	0.01
53295.64	19.535	0.011
53298.58	19.671	0.013
53300.6	19.764	0.022
53301.59	19.796	0.029
53302.61	19.758	0.034
53303.6	19.825	0.045
53305.61	19.814	0.047
53307.63	20.026	0.07
53308.61	19.916	0.039
53309.61	19.913	0.017
53310.6	19.93	0.013
53311.61	19.948	0.015
53312.56	19.977	0.014
53321.59	20.12	0.017
53329.57	20.272	0.046
filter i
53255.69	18.015	0.009
53256.65	17.76	0.009
53257.66	17.584	0.007
53258.63	17.439	0.008
53259.63	17.356	0.007
53260.66	17.321	0.007
53261.6	17.313	0.009
53262.57	17.334	0.008
53263.6	17.347	0.011
53264.6	17.369	0.008
53265.65	17.363	0.008
53266.63	17.37	0.007
53267.62	17.38	0.011
53268.64	17.428	0.01
53271.6	17.695	0.01
53272.65	17.843	0.012
53273.69	17.912	0.013
53274.64	17.976	0.016
53275.68	18.015	0.019
53276.65	18.041	0.02
53277.6	18.042	0.027
53278.61	18.006	0.017
53279.62	17.966	0.015
53280.61	17.939	0.012
53281.61	17.899	0.011
53282.58	17.881	0.011
53287.62	17.801	0.008
53289.63	17.862	0.008
53290.61	17.95	0.008
53291.6	18.049	0.01
53292.6	18.134	0.01
53294.61	18.327	0.011
53295.64	18.403	0.011
53298.58	18.59	0.011
53300.6	18.701	0.013
53301.59	18.748	0.016
53302.61	18.845	0.016
53303.6	18.83	0.022
53305.61	18.909	0.023
53307.63	19.091	0.035
53308.61	19.101	0.025
53309.61	19.184	0.019
53310.6	19.178	0.02
53311.61	19.209	0.017
53312.56	19.213	0.028
53321.59	19.597	0.025
53329.57	19.9	0.038
filter r
53255.69	17.8	0.005
53256.65	17.588	0.007
53257.66	17.394	0.005
53258.63	17.242	0.005
53259.63	17.115	0.005
53260.66	17.016	0.005
53261.6	16.949	0.007
53262.57	16.9	0.005
53263.6	16.867	0.009
53264.6	16.824	0.006
53265.65	16.802	0.006
53266.63	16.802	0.005
53267.62	16.82	0.007
53268.64	16.836	0.007
53271.6	17.029	0.006
53272.65	17.108	0.007
53273.69	17.178	0.008
53274.64	17.241	0.008
53275.68	17.318	0.012
53276.65	17.345	0.012
53277.6	17.364	0.018
53278.61	17.422	0.011
53279.62	17.446	0.008
53280.61	17.457	0.007
53281.61	17.477	0.008
53282.58	17.498	0.007
53287.62	17.689	0.005
53289.63	17.837	0.006
53290.61	17.936	0.006
53291.6	18.027	0.007
53292.6	18.105	0.006
53294.61	18.259	0.009
53295.64	18.319	0.007
53298.58	18.473	0.008
53300.6	18.535	0.01
53301.59	18.59	0.012
53302.61	18.594	0.013
53303.6	18.643	0.017
53305.61	18.734	0.019
53307.63	18.8	0.02
53308.61	18.842	0.016
53309.61	18.866	0.012
53310.6	18.882	0.01
53311.61	18.922	0.01
53312.56	18.967	0.012
53321.59	19.261	0.01
53329.57	19.535	0.022
filter u
53256.65	18.406	0.015
53257.66	18.201	0.012
53258.63	18.041	0.014
53259.63	17.947	0.013
53260.66	17.875	0.012
53261.6	17.826	0.013
53262.57	17.829	0.026
53263.6	17.841	0.014
53264.6	17.869	0.013
53265.65	17.947	0.013
53266.63	18.033	0.014
53267.62	18.149	0.017
53268.64	18.255	0.014
53271.6	18.691	0.029
53272.65	18.681	0.031
53273.69	18.888	0.041
53274.64	19.078	0.052
53275.68	19.166	0.087
53276.65	19.533	0.129
53277.6	19.502	0.1
53278.61	19.582	0.063
53279.62	19.693	0.058
53280.61	19.968	0.053
53281.61	20.032	0.038
53282.58	20.205	0.045
53287.62	20.796	0.072
53289.63	20.768	0.051
53290.61	20.923	0.088
53291.6	20.948	0.063
53292.6	20.876	0.081
53294.61	21.133	0.086
53295.64	21.099	0.066
53298.58	21.301	0.102
53311.61	21.491	0.167
