objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2005ke, 53.768125, -24.944111, 0.0049, 0.003927211531528298, 53689.69, 53819.51, CSP, 31.921338238297388, 0.021037874235733226, 0.4691665443780517, 0.00794384400588027, 53699.446740098756, 0.059866715439720046, 0.3294774449687049, 0.015600385213492832, 9.964494815008727, 0.0001733967672340931
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 35.684983006638284, 0.08399047631434217, 0.8965984974701213, 0.047847297180402204, 53807.952893766604, 1.961715156224944, 0.44991068096039105, 0.07193667988399999, 12.327227584343689, 0.0010375416044816365
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 36.47087739714307, 0.01613643535346943, 0.5643705227092943, 0.01041734017260933, 54003.99840339669, 0.07937117229698881, 0.04591564246528939, 0.014812996797776685, 10.111136946318842, 0.0037506224022017622
2007ba, 229.177625, 7.396611, 0.0385, 0.038133865739342986, 54190.83, 54255.61, CSP, 35.60979150127269, 0.021490906221177487, 0.5406001683141092, 0.009182732474057721, 54198.11350854937, 0.0641805140361401, 0.16296268649076773, 0.016205311947021624, 11.141102329068884, 0.0008626674562506656
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 35.92829181073449, 0.03449423602551181, 0.6184165667759428, 0.03958210359509353, 54526.19581650716, 0.7834903037046881, 0.018133636520157672, 0.042390781020314426, 11.066906876654066, 0.0008724495479113708
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 34.18111269060493, 0.018549388654019446, 0.4878442267172122, 0.008996624021565126, 54572.72785584305, 0.0800410273435232, 0.243561596161727, 0.01484225305748072, 10.724456328263154, 0.0005206097319448586
2009F, 74.848167, -11.130583, 0.013, 0.013048498077434103, 54837.75, 54884.63, CSP, 34.148562526103774, 0.03565583659113752, 0.42361416479651515, 0.012270953538068495, 54842.700248970796, 0.10588256343086502, 0.22627186247468956, 0.021901502163233576, 10.507359299115938, 0.000511704806211565
2018ame, 227.3563931337691, 25.471542558881964, 0.022, 0.023013534092338382, 58177.64533865, 58721.30897305, ATLAS-ZTF, 35.8807397967741, 0.1398287992092672, 1.6011827098776543, 0.10534242842757872, 58193.466538190194, 5.055993672761483, 1.0468064892032969, 0.19674298006825472, 8.986036224321298, 0.005711110761032731
2018baz, 246.055791666667, 25.2720555555556, 0.1, 0.10016588786050484, 58205.48932870012, 58278.18069439987, ZTF, 36.3906172660552, 0.2544088741089516, 0.8806540625439927, 0.07152948037047775, 58214.64709743681, 1.0241739784871484, 1.123828499587575, 0.18038199961968024, 8.666571789473174, 0.1010321439244665
2018ciw, 224.878291666667, 28.1830166666667, 0.056, 0.05690611157793196, 58214.36912039993, 58558.28313660016, ZTF, 37.04409122974884, 0.43852430195878633, 0.8470413318236594, 0.03639287813277819, 58261.26246207494, 1.0256771740318236, -0.03288965762801548, 0.3333352725541023, 12.38697996711908, 0.004384734224813007
2018eyi, 246.30204266284116, 40.84025346715421, 0.03038, 0.03103047946117822, 58338.32212535, 59038.33826955, ATLAS-ZTF, 35.975921214466155, 0.06833881526003854, 0.27046274133273646, 0.014735139396536104, 58338.86281601977, 0.23056467535469588, -0.06788062865159945, 0.042333472547711214, 10.143590364193393, 0.0012393031211338115
2018hkw, 39.59514195668058, -11.738924787800649, 0.027, 0.026350289596668946, 58056.40554975, 58904.25789245, ATLAS-ZTF, 35.19279795293731, 0.21449586352178324, 0.43248105909275464, 0.04016860708289524, 58409.8249663018, 0.360363328784451, 0.21388142167031057, 0.09019067362847297, 10.363890745262498, 0.0009738245140280028
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 0.0382127773955262, 58448.37828555, 58492.23770405, ATLAS-ZTF, 36.71555796237762, 0.07575871214696926, 0.6101420931153663, 0.02995470060263647, 58453.55468181442, 0.23387306938294292, -0.014850168622257943, 0.034923146346597905, 11.024363619703006, 0.0011197732616178959
2018lph, 250.902241666667, 33.5336, 0.08, 0.07984945051024146, 58204.446608799975, 58600.39467590023, ZTF, 37.71038490971192, 0.1472378677380082, 0.5267545674833847, 0.13036314690909656, 58324.433278000455, 0.00011607960602787407, 0.8166556327659602, 0.08391124723964753, 10.34149581173226, 0.004396506937327917
2019be, 195.0605280377852, 27.95679209010926, 0.02, 0.02306703697326352, 58483.62853255, 58529.51429045, ATLAS-ZTF, 35.52417078295675, 0.033488733273890535, 0.34506461044583087, 0.008892435602958371, 58488.663986865235, 0.11977924814423023, 0.2945207696808618, 0.0206227688558491, 10.757611545644629, 0.00038517114109421353
2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 0.0293164307626129, 58260.17395830015, 58855.49312500004, ZTF, 36.26094681324607, 0.04341143498768458, 1.1947985859547046, 0.022576908855196098, 58568.49704437942, 0.32962633877533365, 0.5217080250084319, 0.024636608022972663, 8.839761027821579, 0.012505917069982822
2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 0.028415076274861714, 58558.56347605, 58647.34267315, ATLAS-ZTF, 36.06431043713467, 0.038632649141578365, 0.5441649183721086, 0.014704388674912776, 58575.125279118416, 0.12746023311365207, -0.3213285696593095, 0.02218070246585054, 10.584872344449861, 0.0011367594478676015
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 36.880084550614995, 0.07279974041173022, 0.4803182509586028, 0.01867119565710136, 58491.90263040575, 0.16993047289804472, 0.1910840696738807, 0.03312566849214217, 10.54711612988143, 0.0023269572276193662
2019exc, 296.9899108210265, 3.9450551794102067, 0.06, 0.059211446146659824, 58592.62348705, 58668.48856905, ATLAS, 37.53328401657134, 0.22611084183028266, 1.0667364481955797, 0.11447451098871421, 58600.35309514321, 1.4440218541829182, -0.2502460190149005, 0.12302844409858826, 10.340690842692098, 0.0025695667618407902
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.05880631497338339, 58429.1904397998, 58812.13802079996, ZTF, 36.9948268246172, 0.04925317904278278, 0.6620969954832169, 0.033731672215903175, 58691.00544758674, 0.38239600994869305, 0.42641317185689065, 0.05087801328326488, 9.828101197306356, 0.006206509407890266
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.0579716093873729, 58400.27783560008, 58987.46677079983, ZTF, 37.278968351822314, 0.02179243241531981, 0.7388695417002615, 0.012363748939798296, 58695.359439134234, 0.09455737514976047, 0.1546156160240858, 0.014102900856244147, 10.979192644467481, 0.0047669442378859665
2019noh, 346.419825, 27.6659805555556, 0.0249, 0.022717122995000637, 58426.24295140011, 58967.492083299905, ZTF, 35.00928981079442, 0.059982533742509246, 0.36371749893675825, 0.018935973021332854, 58714.21636319845, 0.21669689828282968, 0.679997424464916, 0.05015170646642312, 10.77252153435704, 0.0007017531518671983
2019op, 35.424387026612415, -25.927123010010185, 0.04, 0.03872130026317916, 58491.28400175, 58679.57638905, ATLAS-ZTF, 36.53733454004119, 0.12262430710886679, 0.495468037312265, 0.03638535099211949, 58496.67978335786, 0.3928137859569366, -0.03376595100883557, 0.04063477834707753, 8.40685425462122, 0.0035269244904225774
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.04819889426180836, 59185.43413395, 59613.26274815, ATLAS-ZTF, 36.807858634302754, 0.06042547377333696, 0.42250084359562207, 0.01652506486728237, 59192.91426791558, 0.19568278498727576, -0.04844057812620875, 0.02871187360048598, 10.649515955931236, 0.0029270517243323553
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05259510797396794, 59187.55942165, 59503.64067935, ATLAS-ZTF, 37.63606085913742, 0.11818041938612013, 0.46918619624526064, 0.034591937829418426, 59194.50334813579, 0.43098707534645536, -0.08361060099052889, 0.05512104155942516, 10.202182551202336, 0.003249982662315169
2020acoo, 145.30888148708254, 26.088601383976407, 0.044125, 0.04462430835039662, 59193.56125295, 59231.46868865, ATLAS-ZTF, 37.40900370844861, 0.09651813005304719, 0.5645855321021996, 0.03641307604027109, 59200.039778347746, 0.32888074218505925, -0.46507752772202154, 0.04782861645049448, 10.685674382711474, 0.0012919791233251478
